districtid,vaccinationratio,populationratio,ratioofratios
UP_Varanasi,0.7642821689407522,0.9131709591296334,0.8369540898116263
UP_Azamgarh,0.8532155169729146,1.0192144083774033,0.8371305487441449
UP_Siddharthnagar,0.8175891898210724,0.9761461514406279,0.8375684200715723
ML_East Garo Hills,0.8153540913309226,0.9719084745972969,0.8389206521414052
NL_Kohima,0.7797217937268274,0.9284429284861045,0.8398166110201538
UP_Rampur,0.7637727765569312,0.90852193295307,0.8406762113869453
UP_Mau,0.8236184541946464,0.9789631195226737,0.8413171423620425
UP_Shahjahanpur,0.733761242422567,0.8715963553354917,0.8418590072466862
AR_Changlang,0.7805749805749805,0.9263138743047252,0.8426679144376049
AS_Kamrup Metropolitan,0.789254522626881,0.9363295937984975,0.842923824958941
TN_Chennai,0.8347606406693787,0.9893160673401135,0.8437754810894013
ML_Ribhoi,0.8048446460669348,0.9530524933789076,0.8444914122342584
JH_Deoghar,0.7816945504353782,0.9252008330086113,0.8448917494955417
GJ_Dang,0.8533692268865147,1.0057019354952075,0.8485309580977547
HR_Panipat,0.7347238082443295,0.86352934265224,0.8508382656548789
GA_North Goa,0.8218960968371128,0.9631705133712684,0.8533235656896618
UP_Lucknow,0.7834525218853153,0.9168444369457034,0.8545097623051972
JH_Jamtara,0.8159056602801548,0.95401032532174,0.8552377669549757
UP_Moradabad,0.7753690661610347,0.9063729183528512,0.8554636292202007
JH_Pakur,0.8469515051960734,0.9891751222217068,0.8562199818509423
GJ_Jamnagar,0.8040826052422557,0.9387313856139696,0.8565630355656555
JH_East Singhbhum,0.8136789891527709,0.949116409012815,0.8573015716787429
AR_Lohit,0.7829068083051666,0.911887799950145,0.858556072740495
MP_Tikamgarh,0.7734247297653573,0.9006464085854634,0.8587440336103511
HR_Rewari,0.7712446655651655,0.8980931198414622,0.8587580157626762
PB_Mansa,0.7587012498553408,0.8832658074239355,0.8589727389856855
TG_Hyderabad,0.8196164033513406,0.9535181997200995,0.8595708016815357
PB_Sangrur,0.7616349951198841,0.8850960503582456,0.8605111217156712
UP_Ayodhya,0.82858267861867,0.961687101271169,0.8615927961635754
AS_Karimganj,0.8308531334967069,0.9631836948602253,0.86261129411797
MP_Alirajpur,0.8726141844953726,1.0107987488346177,0.8632917141037595
GJ_Ahmedabad,0.7818991158237067,0.9044688152297844,0.864484327881511
NL_Mon,0.7777445825366476,0.8994633898279356,0.8646761961989665
MH_Ahmednagar,0.8125730698064053,0.9391798363087298,0.8651943306194385
MN_Imphal West,0.8927245929867742,1.0309111011785739,0.8659569112857355
JH_Lohardaga,0.853910608774422,0.9850921424242034,0.8668332351865501
BR_Siwan,0.8567699779056882,0.9882298861553708,0.8669743648807092
MP_Chhatarpur,0.7653540465654706,0.882635898564395,0.8671231793430529
UP_Mainpuri,0.765087917200028,0.8809867754135641,0.8684442701661108
AR_East Kameng,0.8947168135980211,1.0294003868471953,0.8691630827323882
RJ_Jaipur,0.7919044852146901,0.9103833436115308,0.869858275386685
WB_Paschim Medinipur,0.8403365118333009,0.9659850692430063,0.8699270191534433
KA_Bengaluru Rural,0.823311948987363,0.9461458996174181,0.8701744089577262
MN_Imphal East,0.8856204671009112,1.0173600360911834,0.8705084096909969
BR_Kishanganj,0.826877067956223,0.9497791157710186,0.8705993364414785
UP_Pilibhit,0.7799519513630123,0.8945925474019638,0.8718516084536075
UP_Kannauj,0.766178394353914,0.878726570013246,0.8719190024518828
UP_Etah,0.7619808718517181,0.8731203930166498,0.8727099698348103
UP_Shrawasti,0.7694044641495906,0.8814053615357546,0.872929185283132
UP_Amroha,0.7944350377491969,0.9100346774972001,0.8729722695118298
JH_Khunti,0.8704562453253553,0.9970525841515385,0.8730294260919921
MP_Panna,0.7914125732740795,0.905451000974732,0.8740534522819144
UP_Mathura,0.754798023012889,0.8631683276949803,0.8744505547701394
UP_Ghaziabad,0.7711326179686351,0.8810595644386086,0.8752332408535665
MH_Nashik,0.8179282338248579,0.9343766886081466,0.8753731164282886
KL_Malappuram,0.9613475428096573,1.0980774645875588,0.8754824443744889
UP_Basti,0.8434402984508762,0.9632908246180908,0.8755821989535394
OR_Boudh,0.8673398682545108,0.9905786802030457,0.8755890729212203
JK_Ganderbal,0.7654210211478236,0.8740297379032258,0.8757379617128913
AR_Lower Subansiri,0.8625679063936481,0.9843223478240088,0.8763063322706052
MH_Pune,0.8019308588962717,0.9149486048733729,0.8764763994664567
JK_Baramulla,0.775803902579193,0.8851258478530407,0.8764899414710137
UT_Haridwar,0.7724573580896043,0.8804649381524826,0.8773289254544135
UP_Barabanki,0.7991430406608506,0.9101110497324953,0.8780720120865898
WB_Kolkata,0.7972856445317036,0.9079934113102446,0.8780742619940507
