state,weekid,dose1,dose2
Dadra and Nagar Haveli and Daman and Diu,19,36084,578
Dadra and Nagar Haveli and Daman and Diu,20,46963,471
Dadra and Nagar Haveli and Daman and Diu,21,19783,4493
Dadra and Nagar Haveli and Daman and Diu,22,236415,24532
Dadra and Nagar Haveli and Daman and Diu,23,510210,36598
Dadra and Nagar Haveli and Daman and Diu,24,104894,40919
Dadra and Nagar Haveli and Daman and Diu,25,59108,32856
Dadra and Nagar Haveli and Daman and Diu,26,82326,44761
Dadra and Nagar Haveli and Daman and Diu,27,69473,49589
Dadra and Nagar Haveli and Daman and Diu,28,150211,43390
Dadra and Nagar Haveli and Daman and Diu,29,45271,14927
Dadra and Nagar Haveli and Daman and Diu,30,28407,26677
Dadra and Nagar Haveli and Daman and Diu,31,12033,19823
Dadra and Nagar Haveli and Daman and Diu,32,12105,31805
Delhi,1,3242,0
Delhi,2,17993,0
Delhi,3,10893,0
Delhi,4,29275,334
Delhi,5,19365,11080
Delhi,6,7214,9588
Delhi,7,18629,7932
Delhi,8,25927,18620
Delhi,9,116361,19131
Delhi,10,303750,8267
Delhi,11,83174,3923
Delhi,12,85000,12390
Delhi,13,45278,22711
Delhi,14,54367,77270
Delhi,15,86924,162825
Delhi,16,45448,111604
Delhi,17,32583,40986
Delhi,18,59022,334
Delhi,19,36084,578
Delhi,20,46963,471
Delhi,21,19783,4493
Delhi,22,236415,24532
Delhi,23,510210,36598
Delhi,24,104894,40919
Delhi,25,59108,32856
Delhi,26,82326,44761
Delhi,27,69473,49589
Delhi,28,150211,43390
Delhi,29,45271,14927
Delhi,30,28407,26677
Delhi,31,12033,19823
Delhi,32,12105,31805
Goa,1,3242,0
Goa,2,17993,0
Goa,3,10893,0
Goa,4,29275,334
Goa,5,19365,11080
Goa,6,7214,9588
Goa,7,18629,7932
Goa,8,25927,18620
Goa,9,116361,19131
Goa,10,303750,8267
Goa,11,83174,3923
Goa,12,85000,12390
Goa,13,45278,22711
Goa,14,54367,77270
Goa,15,86924,162825
Goa,16,45448,111604
Goa,17,32583,40986
Goa,18,59022,334
Goa,19,36084,578
Goa,20,46963,471
Goa,21,19783,4493
Goa,22,236415,24532
Goa,23,510210,36598
Goa,24,104894,40919
Goa,25,59108,32856
Goa,26,82326,44761
Goa,27,69473,49589
Goa,28,150211,43390
Goa,29,45271,14927
Goa,30,28407,26677
Goa,31,12033,19823
Goa,32,12105,31805
Gujarat,1,3242,0
Gujarat,2,17993,0
Gujarat,3,10893,0
Gujarat,4,29275,334
Gujarat,5,19365,11080
Gujarat,6,7214,9588
Gujarat,7,18629,7932
Gujarat,8,25927,18620
Gujarat,9,116361,19131
